peak,dp,LC,"dA[1,2,0,6]","dA[1,2,0,5]","dA[1,2,0,4]","dA[1,1,0,5]aG","dA[1,2,1,5]","dA[1,1,1,4]aG","dA[1,2,0,7]","dA[1,2,1,6]","dA[1,2,1,4]","dA[1,1,0,4]aG","dA[1,1,0,3]aG","dA[1,2,0,3]","dA[1,1,0,2]aG","dA[1,2,2,4]","dA[1,1,1,3]aG","dA[1,2,0,2]","dA[1,2,1,3]","dA[1,2,2,5]","dA[2,2,1,6]aG","dA[2,3,0,6]","dA[2,3,0,5]","dA[2,2,1,5]aG","dA[2,2,0,6]aG","dA[2,2,0,7]aG","dA[2,3,1,6]","dA[2,2,2,6]aG","dA[2,2,0,5]aG","dA[2,3,1,5]","dA[2,3,0,7]","dA[2,2,0,8]aG","dA[2,2,1,4]aG","dA[2,3,1,7]","dA[2,3,0,8]","dA[2,3,2,8]","dA[2,3,3,7]","dA[2,2,2,7]aG","dA[2,3,1,9]","dA[2,3,2,7]","dA[2,3,0,9]","dA[2,2,1,7]aG","dA[2,2,1,8]aG","dA[2,3,2,6]","dA[2,3,1,8]","dA[2,2,0,9]aG","dA[2,2,2,5]aG","dA[2,3,1,1]","dA[2,3,2,9]","dA[2,3,3,8]","dA[2,3,3,4]","dA[2,3,3,5]","dA[2,3,3,6]","dA[2,3,2,5]","dA[2,3,1,4]","dA[2,2,2,4]aG"
L1,4,L,31.41,16.05,13.06,16.05,4.76,4.41,2.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L2,4,L,26.83,16.31,11.0,7.37,,,3.74,11.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L3,4,L,28.09,49.22,49.22,16.33,8.88,,4.1,16.01,5.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L4,4,L,24.23,49.0,9.73,16.53,12.04,,6.63,19.33,6.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L5,4,L,24.13,49.1,13.37,2.74,12.59,,4.17,12.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X1,4,X,,7.48,4.45,7.3,,,,,7.3,12.35,4.83,7.48,2.52,2.39,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X2,4,X,,,,,,,,,,4.54,2.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X3,4,X,,,10.78,7.25,2.24,2.36,,,,10.78,5.44,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X4,4,X,,4.39,13.48,15.39,,10.39,,,,7.59,,8.14,,,,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X5,4,X,,,4.86,9.34,,,,,7.41,4.86,,,,,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X6,4,X,4.11,15.58,10.47,4.56,,7.53,,,,,,5.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X7,4,X,6.44,15.95,10.7,7.18,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X8,4,X,,12.08,4.28,4.18,,,,,2.21,,,2.33,,2.21,,2.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X9,4,X,,,2.33,,,,,,,,,,,2.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X10,4,X,16.66,15.83,7.55,7.11,,,,,4.75,,,2.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X11,4,X,6.29,6.83,2.37,2.29,,,,,,,,2.47,,2.37,,2.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X12,4,X,6.32,2.24,2.24,2.24,,,,,,,,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X13,4,X,19.66,9.62,2.25,,4.27,,,,,,,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X14,4,X,2.34,12.49,,5.33,16.1,11.72,,4.64,2.5,4.83,,,,9.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X15,4,X,7.73,7.73,,,8.11,4.6,4.47,7.46,,,,,,,,,,5.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X16,4,X,5.51,,2.21,,2.08,2.21,1.63,5.51,2.21,2.21,2.21,,,,,,,3.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X17,4,X,4.09,,,,6.93,,,4.05,2.43,,,,,,,,,4.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
X18,4,X,1.96,,,,2.14,,,5.7,2.22,,2.33,,,,,,,4.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
L6,6,L,,,,,,,,,,,,,,,,,,,37.77,35.48,30.79,27.31,28.76,14.35,13.02,17.91,17.58,14.51,9.35,7.06,6.95,9.42,3.25,3.57,3.56,,,,,,,,,,,,,,,,,,,
L7,6,L,,,,,,,,,,,,,,,,,,,16.49,19.58,24.1,17.94,11.36,14.81,18.82,,6.7,11.97,7.41,8.8,4.56,11.62,2.96,,,7.13,4.56,7.13,1.29,,,,,,,,,,,,,,,
L8,6,L,,,,,,,,,,,,,,,,,,,14.91,28.05,,,18.32,30.76,33.34,,,26.2,36.31,36.31,,29.71,14.55,,,,,,,21.03,19.56,1.81,3.25,,,,,,,,,,,
L9,6,L,,,,,,,,,,,,,,,,,,,14.7,21.02,,,,21.31,17.29,19.79,,12.86,26.77,29.69,,28.49,27.09,,,20.29,8.96,,18.27,20.65,27.09,,19.22,11.19,7.16,,,,,,,,,
L10,6,L,,,,,,,,,,,,,,,,,,,9.42,12.44,,,,13.62,9.24,14.37,,,24.55,30.78,,26.61,30.78,,,20.87,11.52,,21.3,26.99,36.15,,27.82,13.86,,2.53,,,,,,,,
L11,6,L,,,,,,,,,,,,,,,,,,,,8.85,,,,17.58,13.59,13.31,,,12.25,20.43,,19.09,22.68,20.26,,19.09,8.85,19.09,15.06,16.95,22.68,,22.68,8.41,6.78,,11.5,11.46,,,,,,
X19,6,X,,,,,,,,,,,,,,,,,,,17.71,26.16,13.7,5.98,23.51,13.92,12.53,14.71,8.45,16.26,21.09,,,13.5,,,,,,4.78,,2.98,,,,,,,,,3.97,,,,,
X20,6,X,,,,,,,,,,,,,,,,,,,9.24,20.1,13.98,1.84,14.08,11.23,17.75,,6.12,17.13,11.09,3.49,,13.25,,,,,,,,,,,,,,,,,4.37,7.25,1.8,,,
X21,6,X,,,,,,,,,,,,,,,,,,,20.85,24.3,13.08,,24.3,21.66,17.44,14.29,19.39,22.42,15.84,5.32,,15.34,5.32,,,,1.44,,,10.47,5.32,8.7,,,,,,,,12.65,3.79,,,
X22,6,X,,,,,,,,,,,,,,,,,,,5.89,15.52,5.86,5.86,7.91,15.4,18.44,,5.86,7.93,10.31,1.7,,5.89,,,,,,,,,,,1.7,,8.27,,,,,,,,,
X23,6,X,,,,,,,,,,,,,,,,,,,,3.43,7.56,,,3.09,1.59,5.03,3.59,1.73,4.68,1.36,,6.16,,,,,,2.95,,,,1.55,,,5.57,,,,5.87,3.55,3.13,3.59,,
X24,6,X,,,,,,,,,,,,,,,,,,,,1.6,,,,1.47,,4.52,1.67,,1.47,,,,,1.52,,,,2.78,,,,4.52,2.78,,3.21,,,,,3.21,4.52,1.67,1.69,1.69
X25,6,X,,,,,,,,,,,,,,,,,,,,,,,,,4.27,9.26,,,8.59,,,20.75,12.52,14.75,15.49,15.49,,18.07,9.6,,12.52,14.35,12.52,,2.14,,,5.48,,2.09,11.31,,,
X26,6,X,,,,,,,,,,,,,,,,,,,,,,,,,,3.35,,,3.1,,,6.63,6.38,10.59,12.86,10.78,2.95,12.86,6.38,4.92,,,8.16,,1.74,,,3.05,,,,,,
X27,6,X,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,7.22,,,13.36,8.54,19.34,13.31,11.12,,15.43,8.36,7.15,6.63,,14.72,6.39,,,,8.83,,,,,,
