0,1,2,3,4,5,6
210.18901,5,"[5, 0]","[1, 1, 1, 0, 5, 1, 0]","[0, 0, 0, 0]",0.1169,1
214.58544,5,"[6, 1]","[1, 1, 1, 0, 5, 1, 0]","[0, 0, 0, 0]",0.1169,1
218.98091,5,"[7, 2]","[1, 1, 1, 0, 5, 1, 0]","[0, 0, 0, 0]",0.1169,1
262.98751,4,"[4, 0]","[1, 1, 1, 0, 5, 1, 0]","[0, 0, 0, 0]",0.1169,1
268.48287,4,"[5, 1]","[1, 1, 1, 0, 5, 1, 0]","[0, 0, 0, 0]",0.1169,1
273.97872,4,"[6, 2]","[1, 1, 1, 0, 5, 1, 0]","[0, 0, 0, 0]",0.1169,1
279.47382,4,"[7, 3]","[1, 1, 1, 0, 5, 1, 0]","[0, 0, 0, 0]",0.1169,1
365.63859,3,"[5, 2]","[1, 1, 1, 0, 5, 1, 0]","[0, 0, 0, 0]",0.1169,1
372.96512,3,"[6, 3]","[1, 1, 1, 0, 5, 1, 0]","[0, 0, 0, 0]",0.1169,1
380.29225,3,"[7, 4]","[1, 1, 1, 0, 5, 1, 0]","[0, 0, 0, 0]",0.1169,1
581.93146,2,"[7, 5]","[1, 1, 1, 0, 5, 1, 0]","[0, 0, 0, 0]",0.1169,1
242.9964,4,"[4, 0]","[1, 1, 1, 0, 4, 1, 0]","[0, 0, 0, 0]",0.0118,1
248.49208,4,"[5, 1]","[1, 1, 1, 0, 4, 1, 0]","[0, 0, 0, 0]",0.0118,1
253.98772,4,"[6, 2]","[1, 1, 1, 0, 4, 1, 0]","[0, 0, 0, 0]",0.0118,1
346.31479,3,"[6, 3]","[1, 1, 1, 0, 4, 1, 0]","[0, 0, 0, 0]",0.0118,1
247.4997,4,"[4, 0]","[1, 1, 2, 0, 4, 0, 0]","[0, 0, 0, 0]",0.0091,1
252.99444,4,"[5, 1]","[1, 1, 2, 0, 4, 0, 0]","[0, 0, 0, 0]",0.0091,1
258.48905,4,"[6, 2]","[1, 1, 2, 0, 4, 0, 0]","[0, 0, 0, 0]",0.0091,1
213.78767,5,"[5, 0]","[1, 1, 2, 0, 5, 0, 0]","[0, 0, 0, 0]",0.004,1
218.39182,5,"[6, 1]","[1, 1, 2, 0, 5, 0, 0]","[0, 0, 0, 0]",0.004,2
222.59183,5,"[7, 2]","[1, 1, 2, 0, 5, 0, 0]","[0, 0, 0, 0]",0.004,1
267.97977,4,"[4, 0]","[1, 1, 2, 0, 5, 0, 0]","[0, 0, 0, 0]",0.004,3
222.19151,5,"[5, 0]","[1, 1, 2, 1, 5, 0, 0]","[0, 0, 0, 0]",0.0039,1
226.58768,5,"[6, 1]","[1, 1, 2, 1, 5, 0, 0]","[0, 0, 0, 0]",0.0039,1
253.4937,4,"[4, 0]","[1, 1, 1, 1, 4, 1, 0]","[0, 0, 0, 0]",0.0014,1
223.00697,4,"[4, 0]","[1, 1, 1, 0, 3, 1, 0]","[0, 0, 0, 0]",0.0013,1
